Week,Day,What
1,Tu,<b>Welcome and course overview. Moral judgment in everyday life: the case of offensive comedy.</b> WWYD video at https://youtu.be/_Z6iE4BURpY The Atlantic article at http://www.theatlantic.com/magazine/archive/2015/09/thats-not-funny/399335/
1,Th,<b>Quiz. Chaurand & Brauer (2008)</b>
2,Tu,"<b>Quiz. Haidt: Intro., 1, 2.</b> Optional background info: There are many Haidt videos online, here are two. Haidt talks about part II of the book, especially starting 25 minutes in: https://youtu.be/ONUM4akzLGE?t=25m25s Haidt talks about part III of the righteous mind: https://youtu.be/2APK3tlPL_0"
2,Th,"<b>Quiz. Haidt: 3, 4</b>"
3,Tu,"<b>Quiz. Haidt: 5, 6</b>"
3,Th,"<b>Quiz. Haidt: 7, 8</b>"
4,Tu,"<b>Quiz. Haidt: 9, 10</b>"
4,Th,"<b>Quiz. Haidt: 11, 12, Conclusion</b>"
5,Tu,<b>Quiz: Janoff-Bulman & Carnes (2013).</b> Optional background info: Janoff-Bulman talks about MMM and politics at https://youtu.be/tJr7ejEzdiA
5,Th,<b>Review.</b>
6,Tu,<b>Exam.</b>
6,Th,<b>Quiz. Tomasello: Preface and 1.</b> Optional background info: Tomasello summarizes at https://vimeo.com/55035079
7,Tu,<b>Quiz. Tomasello: 2.</b>
7,Th,<b>Quiz. Tomasello: 3.</b>
8,Tu,<b>Quiz. Tomasello: 4.</b>
8,Th,"<b>Quiz. Tomasello: 5, Conclusion.</b>"
9,Tu,<b>Quiz. Lahti (2013). Review.</b> Optional background info: Lahti talks about this essay at https://vimeo.com/220985538
9,Th,<b>Exam.</b>
Break,,
10,Tu,"<b>Quiz. Biasucci & Prentice: Intro, Part 1 intro, 1, 2, 3.</b> See also the Ethics Unwrapped website at https://ethicsunwrapped.utexas.edu/"
10,Th,"<b>Quiz. Biasucci & Prentice: 4, 5, 6.</b>"
11,Tu,"<b>Quiz. Biasucci & Prentice: 7, 8.</b>"
11,Th,"<b>Quiz. Biasucci & Prentice: 9, 10.</b>"
12,Tu,<b>Quiz. Biasucci & Prentice: 11. + Rai & Fiske (2011).</b>
12,Th,"<b>Quiz. Biasucci & Prentice: 12, 13.</b>"
13,Tu,"<b>Quiz. Biasucci & Prentice: 14, 15.</b>"
13,Th,"<b>Quiz. Biasucci & Prentice: 16, 17.</b>"
14,Tu,"<b>Quiz. Biasucci & Prentice: 18, 19.</b>"
14,Th,"<b>Quiz. Biasucci & Prentice: 20, 21.</b>"
15,Tu,"<b>Quiz. Biasucci & Prentice: 22, 23.</b>"
15,Th,<b>Review and Overview.</b>
Finals,,"<b>Final Exam</b>, see registrar info for date and time"
