exp_inits=JKK booth=E subj=1051673803 age=-1 sex=dts hand=dts permute_sec=43
29-Apr-2003 22:37:19
1051673839 training_phase_instructions
1051673934 I.PE_1
1051674023 PE.I_1
1051674037 A.B
1051674053 I.PE_2
1051674065 I.PL_1
1051674121 PE.I_2
1051674135 C.D
1051674148 I.PE_3
1051674162 PE.I_3
1051674177 PL.I_1
1051674189 PE.I_4
1051674203 PL.I_2
1051674215 I.PL_2
1051674227 B.A
1051674240 PL.I_3
1051674254 I.PE_4
1051674270 I.PL_3
1051674281 D.C
1051674297 PL.I_4
1051674312 I.PL_4
1051674326 test_phase_instructions
(test_instruction_resp) 1051674357 I.PEtest_1
E 1051674407 PL.Itest_1
L 1051674423 Itest_1
L 1051674439 PE.PLtest_1
