exp_inits=asdf booth=D subj=1081589700 age=99 sex=dts hand=dts permute_sec=00
10-Apr-2004 04:35:17
1081589717 training_phase_instructions
1081589724 I.PE_1
1081589730 PE.I_1
1081589730 PE.I_1
1081589738 A.B
1081589759 I.PE_2
1081589770 I.PL_1
1081589776 PE.I_2
1081589783 C.D
1081589792 I.PE_3
1081589801 PE.I_3
1081589807 PL.I_1
1081589814 PE.I_4
1081589904 PL.I_2
1081589910 I.PL_2
1081589916 B.A
1081589923 B.A
1081589948 PL.I_3
1081590129 I.PE_4
1081590134 I.PL_3
1081590140 D.C
1081590147 PL.I_4
1081590152 I.PL_4
1081590188 test_phase_instructions
(test_instruction_resp) 1081590206 I.PEtest_1
