subj=987441929 age=19 sex=M hand=R permute_sec=29
16-Apr-2001 12:55:36
987443736 training_phase_instructions
987443819 I.PE_1
987443856 PE.I_1
987443890 A.B
987443918 I.PE_2
987443954 I.PE_1
987443966 I.PL_1
987444009 PE.I_2
987444038 C.D
987444064 I.PE_3
987444088 PE.I_3
987444115 PL.I_1
987444140 PE.I_3
987444142 PE.I_3
987444156 PL.I_1
987444167 PE.I_4
987444188 PL.I_2
987444209 I.PL_2
987444234 B.A
987444258 PL.I_3
987444300 I.PE_4
987444317 I.PL_3
987444335 D.C
987444352 PL.I_4
987444370 I.PL_4
987444447 PL.I_2
987444457 PL.I_2
987444472 D.C
987444546 PE.I_1
987444569 I.PE_1
987444577 PE.I_1
987444586 A.B
987444595 I.PE_2
987444602 I.PL_1
987444610 PE.I_2
987444618 C.D
987444627 I.PE_3
987444636 PE.I_3
987444645 PL.I_1
987444655 PE.I_4
987444665 PL.I_2
987444675 I.PL_2
987444685 B.A
987444694 PL.I_3
987444704 I.PE_4
987444712 I.PL_3
987444722 D.C
987444732 PL.I_4
987444741 I.PL_4
987444781 test_phase_instructions
(test_instruction_resp) 987444855 I.PEtest_1
E 987444886 I.PLtest_1
L 987444899 PE.PLtest_2
L 987444917 Itest_4
L 987444935 PL.Itest_1
L 987444951 Itest_3
E 987444964 PE.Itest_2
E 987444975 PL.PEtest_1
E 987444991 Itest_1
E 987445013 PL.PEtest_2
L 987445028 I.PLtest_2
L 987445040 I.PEtest_2
E 987445054 PE.PLtest_1
L 987445065 PE.Itest_1
E 987445080 Itest_2
E 987445091 PL.Itest_2
L 987445106 farewell
CueI=Sodium Seam Glue CuePE=Hexagonal Aircells CuePL=Lateral Valves OutE=High OutL=Low
