exp_inits=nl booth=B subj=1013112055 age=20 sex=F hand=R permute_sec=55
07-Feb-2002 15:01:26
1013112086 training_phase_instructions
1013112387 I.PE_1
1013112466 PE.I_1
1013112551 A.B
1013112620 I.PE_2
1013112717 I.PL_1
1013112800 PE.I_2
1013112881 C.D
1013112942 I.PE_3
1013112942 I.PE_3
1013113030 PE.I_3
1013113076 PE.I_4
1013113140 PL.I_2
1013113192 I.PL_2
1013113258 B.A
1013113302 PL.I_3
1013113341 I.PE_4
1013113405 I.PL_3
1013113460 D.C
1013113497 PL.I_4
1013113560 I.PL_4
1013113643 I.PL_4
1013113749 I.PE_1
1013113758 PE.I_1
1013113767 A.B
1013113776 I.PE_2
1013113784 I.PL_1
1013113793 PE.I_2
1013113801 C.D
1013113810 I.PE_3
1013113819 PE.I_3
1013113833 PL.I_1
1013113843 test_phase_instructions
(test_instruction_resp) 1013113939 I.PEtest_1
E 1013113966 I.PLtest_1
L 1013113990 PE.PLtest_2
E 1013114028 Itest_4
E 1013114089 PL.Itest_1
L 1013114108 Itest_3
E 1013114129 PE.Itest_2
E 1013114144 PL.PEtest_1
E 1013114159 Itest_1
L 1013114181 PL.PEtest_2
E 1013114195 I.PLtest_2
L 1013114217 I.PEtest_2
E 1013114230 PE.PLtest_1
E 1013114241 PE.Itest_1
E 1013114257 Itest_2
L 1013114293 PL.Itest_2
L 1013114308 farewell
CueI=Lateral Valves CuePE=Sodium Seam Glue CuePL=Hexagonal Aircells OutE=Low OutL=High
