exp_inits=sf booth=C subj=1013530360 age=18 sex=F hand=R permute_sec=40
12-Feb-2002 11:12:55
1013530375 training_phase_instructions
1013530566 I.PE_1
1013530662 PE.I_1
1013530747 A.B
1013530804 I.PE_2
1013530860 I.PL_1
1013530916 PE.I_2
1013530975 C.D
1013531040 I.PE_3
1013531078 PE.I_3
1013531137 PL.I_1
1013531192 I.PE_2
1013531206 I.PE_2
1013531209 I.PL_1
1013531235 PL.I_1
1013531284 PE.I_4
1013531326 PL.I_2
1013531379 I.PL_2
1013531427 B.A
1013531468 PL.I_3
1013531514 I.PE_4
1013531567 I.PL_3
1013531599 D.C
1013531644 PL.I_4
1013531682 I.PL_4
1013531755 test_phase_instructions
(test_instruction_resp) 1013531823 I.PEtest_1
E 1013531851 PL.Itest_1
L 1013531864 Itest_1
L 1013531884 PE.PLtest_1
E 1013531904 I.PLtest_1
L 1013531919 Itest_3
L 1013531936 PL.PEtest_2
E 1013531953 PE.Itest_1
E 1013531968 PE.PLtest_2
L 1013531980 PE.Itest_2
E 1013531997 I.PLtest_2
L 1013532010 Itest_2
L 1013532023 Itest_4
L 1013532037 PL.PEtest_1
E 1013532055 I.PEtest_2
E 1013532067 PL.Itest_2
L 1013532083 farewell
CueI=Sodium Seam Glue CuePE=Lateral Valves CuePL=Hexagonal Aircells OutE=High OutL=Low
