exp_inits=ek booth=A subj=1013095702 age=1 sex=dts hand=dts permute_sec=22
07-Feb-2002 10:28:54
1013095734 training_phase_instructions
1013095776 I.PE_1
1013095785 PE.I_1
1013095795 A.B
1013095804 I.PE_2
1013095814 I.PL_1
1013095823 PE.I_2
1013095833 C.D
1013095842 I.PE_3
1013095852 PE.I_3
1013095860 PL.I_1
1013095869 PE.I_4
1013095879 PL.I_2
1013095888 I.PL_2
1013095896 B.A
1013095904 PL.I_3
1013095912 I.PE_4
1013095921 I.PL_3
1013095929 D.C
1013095938 PL.I_4
1013095948 I.PL_4
1013095958 test_phase_instructions
