subj=1075406667 permute_sec=27 age=99 sex=dts hand=dts
29-Jan-2004 15:04:37
1075406677 training_phase_instructions
1075406684 I.PE_1
1075406696 PE.I_1
1075406707 A.B
1075406722 I.PE_2
1075406731 I.PL_1
1075406744 PE.I_2
1075406757 C.D
1075406813 I.PE_3
1075406855 PE.I_3
1075406864 PL.I_1
1075406872 PE.I_4
1075406882 PL.I_2
1075407001 I.PL_2
1075407066 B.A
1075407093 PL.I_3
1075407136 I.PE_4
1075407228 I.PL_3
1075407247 D.C
1075407273 PL.I_4
1075407291 I.PL_4
1075407328 test_phase_instructions
(test_instruction_resp) 1075407361 I.PEtest_1
E 1075407403 I.PLtest_1
E 1075407434 PE.PLtest_2
E 1075407450 Itest_4
E 1075407460 PL.Itest_1
E 1075407485 Itest_3
L 1075407509 I.PEtest_2
L 1075407525 Itest_2
L 1075407541 PE.PLtest_1
