subj=985814134 permute_sec=34 age=21 sex=F hand=R
28-Mar-2001 16:17:52
985814272 training_phase_instructions
985814305 I.PE_1
985814344 PE.I_1
985814371 PE.I_2
985814394 A.B
985814418 C.D
985814445 PE.I_4
985814469 I.PE_4
985814492 PL.I_2
985814517 I.PE_3
985814539 I.PE_2
985814569 I.PL_3
985814592 I.PL_2
985814614 PE.I_3
985814634 I.PL_1
985814657 D.C
985814678 B.A
985814705 PL.I_1
985814724 PL.I_4
985814742 PL.I_3
985814763 I.PL_4
985814797 test_phase_instructions
(test_instruction_resp) 985814832 I.PEtest_1
E 985814852 I.PLtest_1
L 985814866 PE.PLtest_2
E 985814884 Itest_4
E 985814901 PL.Itest_1
L 985814918 Itest_3
E 985814933 PE.Itest_2
E 985814946 PL.PEtest_1
L 985814966 Itest_1
E 985814984 PL.PEtest_2
L 985815000 I.PLtest_2
L 985815013 I.PEtest_2
E 985815029 PE.PLtest_1
L 985815043 Itest_2
E 985815056 PL.Itest_2
L 985815078 PL.Itest_2
L 985815096 Itest_3
E 985815112 PE.Itest_2
E 985815134 PL.PEtest_1
L 985815150 I.PEtest_2
L 985815176 I.PLtest_2
E 985815211 Itest_1
E 985815225 PL.PEtest_2
L 985815243 I.PEtest_1
E 985815258 I.PLtest_1
E 985815277 PE.PLtest_2
L 985815292 Itest_4
E 985815313 PE.PLtest_1
L 985815333 PE.Itest_1
L 985815378 farewell
