subj=985814171 permute_sec=11 age=20 sex=F hand=R
28-Mar-2001 16:19:02
985814342 training_phase_instructions
985814397 I.PE_1
985814434 PE.I_1
985814467 A.B
985814492 I.PE_2
985814507 I.PL_1
985814528 A.B
985814542 I.PL_1
985814554 PE.I_2
985814565 C.D
985814585 I.PE_3
985814600 PE.I_3
985814611 PL.I_1
985814633 C.D
985814646 PE.I_1
985814660 A.B
985814675 I.PL_1
985814690 PL.I_1
985814709 PE.I_4
985814719 PL.I_2
985814731 I.PL_2
985814746 B.A
985814761 PL.I_3
985814778 I.PE_4
985814799 I.PL_3
985814813 D.C
985814840 PL.I_4
985814858 D.C
985814877 I.PL_4
985814963 test_phase_instructions
(test_instruction_resp) 985814995 I.PEtest_1
E 985815016 I.PLtest_1
L 985815054 PE.PLtest_2
E 985815071 Itest_4
E 985815105 PL.Itest_1
L 985815123 Itest_1
E 985815140 PE.PLtest_1
E 985815170 Itest_3
E 985815181 PL.PEtest_2
E 985815208 PE.Itest_1
E 985815225 PE.Itest_2
E 985815244 I.PLtest_2
L 985815263 Itest_2
E 985815275 PL.PEtest_1
E 985815295 I.PEtest_2
E 985815335 PL.Itest_2
L 985815355 farewell
