subj=986258658 permute_sec=18 age=21 sex=F hand=L
02-Apr-2001 19:44:33
986258673 training_phase_instructions
986258682 I.PE_1
986258774 PE.I_1
986258787 I.PE_1
986258799 PE.I_1
986258815 A.B
986258877 I.PE_2
986258895 A.B
986258905 I.PE_2
986258916 I.PL_1
986258941 PE.I_2
986258951 C.D
986258981 I.PE_3
986258994 PE.I_3
986259004 PL.I_1
986259015 PE.I_4
986259026 PL.I_2
986259037 I.PL_2
986259048 B.A
986259076 PL.I_3
986259104 I.PE_4
986259113 I.PL_3
986259124 D.C
986259148 PL.I_4
986259165 I.PL_4
986259183 test_phase_instructions
(test_instruction_resp) 986259194 I.PEtest_1
E 986259210 I.PLtest_1
L 986259226 PE.PLtest_2
L 986259249 Itest_4
L 986259273 PL.Itest_1
L 986259286 Itest_3
L 986259300 PE.Itest_2
L 986259320 PL.PEtest_1
L 986259338 Itest_1
L 986259350 PL.PEtest_2
E 986259362 I.PLtest_2
L 986259380 I.PEtest_2
L 986259396 PE.PLtest_1
E 986259411 PE.Itest_1
L 986259425 Itest_2
L 986259444 PL.Itest_2
L 986259457 farewell
