subj=986515264 permute_sec=04 age=1 sex=F hand=R
05-Apr-2001 19:01:12
986515272 training_phase_instructions
986517327 PE.I_1
986518524 I.PE_1
986518533 PE.I_1
986518543 A.B
986518556 I.PE_2
986518569 I.PL_1
986518579 PE.I_2
986518588 C.D
986518597 I.PE_3
986518606 PE.I_3
986518615 PL.I_1
986518625 PE.I_4
986518634 PL.I_2
986518643 I.PL_2
986518652 B.A
986518661 PL.I_3
986518670 I.PE_4
986518678 I.PL_3
986518686 D.C
986518695 PL.I_4
986518704 I.PL_4
986518712 test_phase_instructions
(test_instruction_resp) 986519200 I.PEtest_1
