exp_inits=jkk booth=A subj=1051672577 age=41 sex=M hand=R permute_sec=17
29-Apr-2003 22:17:24
1051672644 training_phase_instructions
1051672665 I.PE_1
1051672902 PE.I_1
1051672938 I.PL_4
1051672971 PL.I_4
1051673045 PE.I_1
1051673068 A.B
1051673082 I.PE_2
1051673102 I.PL_1
1051673116 PE.I_2
1051673126 C.D
1051673137 I.PE_3
1051673148 PE.I_3
1051673160 PL.I_1
1051673176 PE.I_4
1051673186 PL.I_2
1051673200 I.PL_2
1051673214 B.A
1051673225 PL.I_3
1051673237 I.PE_4
1051673250 I.PL_3
1051673261 D.C
1051673272 PL.I_4
1051673281 I.PL_4
1051673296 PE.I_4
1051673309 PL.I_4
1051673328 I.PE_1
1051673341 I.PL_4
1051673358 PE.I_3
1051673372 I.PE_3
1051673388 PE.I_2
1051673405 PE.I_4
1051673415 I.PE_4
1051673429 PE.I_1
1051673441 C.D
1051673452 PL.I_2
1051673463 I.PL_3
1051673473 A.B
1051673484 I.PE_3
1051673497 I.PL_2
1051673535 D.C
1051673547 I.PE_2
1051673564 PE.I_3
1051673575 B.A
1051673587 PL.I_4
1051673602 I.PL_1
1051673613 PL.I_1
1051673624 PL.I_3
1051673634 I.PL_4
1051673666 I.PL_4
1051673679 PL.I_3
