subj=987441861 age=19 sex=M hand=R permute_sec=21
16-Apr-2001 13:59:12
987447552 training_phase_instructions
987447660 I.PE_1
987447695 PE.I_1
987447725 A.B
987447756 I.PE_2
987447784 I.PL_1
987447811 PE.I_2
987447836 C.D
987447864 I.PE_3
987447882 I.PL_1
987447886 PE.I_3
987447902 I.PE_3
987447912 PE.I_3
987447929 PL.I_1
987447951 PE.I_4
987447971 PL.I_2
987447991 I.PL_2
987448015 B.A
987448037 PL.I_3
987448060 I.PE_4
987448082 I.PL_3
987448097 D.C
987448111 PL.I_4
987448123 I.PL_4
987448292 I.PL_4
987448307 PL.I_4
987448320 D.C
987448329 I.PL_3
987448338 I.PE_4
987448347 PE.I_4
987448362 PL.I_2
987448371 I.PL_2
987448381 B.A
987448391 PL.I_3
987448406 PL.I_1
987448414 test_phase_instructions
(test_instruction_resp) 987448461 I.PEtest_1
E 987448482 I.PLtest_1
L 987448494 PE.PLtest_2
L 987448512 Itest_4
E 987448533 PL.Itest_1
L 987448548 Itest_3
L 987448568 PE.Itest_2
E 987448582 PL.PEtest_1
E 987448598 Itest_1
E 987448611 PL.PEtest_2
E 987448626 I.PLtest_2
L 987448639 I.PEtest_2
E 987448652 PE.PLtest_1
E 987448669 PE.Itest_1
E 987448683 Itest_2
L 987448694 PL.Itest_2
L 987448718 farewell
CueI=Hexagonal Aircells CuePE=Sodium Seam Glue CuePL=Lateral Valves OutE=Low OutL=High
