subj=987791961 age=18 sex=M hand=R permute_sec=21
20-Apr-2001 14:04:38
987793478 training_phase_instructions
987793638 I.PE_1
987793680 PE.I_1
987793714 A.B
987793744 I.PE_2
987793760 I.PL_1
987793776 I.PL_4
987793789 A.B
987793800 PE.I_2
987793814 C.D
987793831 I.PE_3
987793851 PE.I_3
987793874 PL.I_1
987793897 PE.I_4
987793920 I.PL_2
987793946 B.A
987793963 PL.I_3
987793986 I.PE_4
987794015 I.PL_3
987794029 D.C
987794050 PL.I_4
987794077 I.PL_4
987794199 C.D
987794218 I.PE_3
987794229 PE.I_4
987794239 D.C
987794251 PL.I_4
987794263 I.PE_4
987794296 I.PL_4
987794348 I.PL_4
987794358 I.PE_1
987794366 PE.I_1
987794375 A.B
987794383 I.PE_2
987794391 I.PL_1
987794401 PE.I_2
987794410 C.D
987794418 I.PE_3
987794427 PE.I_3
987794436 PL.I_1
987794445 PE.I_4
987794452 PL.I_2
987794462 I.PL_2
987794473 B.A
987794483 PL.I_3
987794492 I.PE_4
987794500 I.PL_3
987794508 D.C
987794517 PL.I_4
987794528 test_phase_instructions
(test_instruction_resp) 987794549 I.PEtest_1
E 987794569 PL.Itest_1
L 987794580 Itest_1
E 987794597 PE.PLtest_1
L 987794609 I.PLtest_1
L 987794624 Itest_3
E 987794636 PL.PEtest_2
L 987794648 PE.Itest_1
E 987794659 PE.PLtest_2
L 987794676 PE.Itest_2
E 987794689 I.PLtest_2
L 987794700 Itest_2
E 987794713 Itest_4
E 987794723 PL.PEtest_1
L 987794736 I.PEtest_2
E 987794749 PL.Itest_2
L 987794766 farewell
CueI=Hexagonal Aircells CuePE=Sodium Seam Glue CuePL=Lateral Valves OutE=Low OutL=High
