subj=989866996 age=-1 sex=dts hand=dts permute_sec=16
14-May-2001 14:03:29
989867009 training_phase_instructions
989867033 I.PE_1
989867047 PE.I_1
989867278 A.B
989867464 I.PE_2
989867472 I.PL_1
989867481 PE.I_2
989867491 C.D
989867500 I.PE_3
989867509 PE.I_3
989867518 PL.I_1
989867528 PE.I_4
989867538 PL.I_2
989867549 I.PL_2
989867563 B.A
989867574 PL.I_3
989867583 I.PE_4
989867591 I.PL_3
989867600 D.C
989867607 PL.I_4
989867617 I.PL_4
989867627 I.PL_4
989867704 PE.I_2
989867713 C.D
989867832 D.C
989867840 PL.I_4
989867853 PL.I_3
