exp_inits=nl booth=C subj=1013112099 age=19 sex=F hand=R permute_sec=39
07-Feb-2002 15:02:08
1013112128 training_phase_instructions
1013112381 I.PE_1
1013112425 PE.I_1
1013112455 A.B
1013112482 I.PE_2
1013112518 I.PL_1
1013112558 PE.I_2
1013112600 C.D
1013112644 PE.I_3
1013112679 PL.I_1
1013112715 PE.I_4
1013112759 PL.I_2
1013112789 I.PL_2
1013112814 B.A
1013112844 PL.I_3
1013112865 I.PE_4
1013112903 I.PL_3
1013112927 D.C
1013112944 PL.I_4
1013112964 D.C
1013112977 I.PL_4
1013113011 I.PE_1
1013113048 PE.I_1
1013113064 I.PL_3
1013113079 I.PL_4
1013113148 I.PE_1
1013113161 PE.I_2
1013113171 C.D
1013113183 I.PE_3
1013113197 test_phase_instructions
(test_instruction_resp) 1013113270 I.PEtest_1
E 1013113295 I.PLtest_1
E 1013113308 PE.PLtest_2
E 1013113322 Itest_4
E 1013113341 PL.Itest_1
E 1013113357 Itest_3
E 1013113369 PE.Itest_2
E 1013113382 PL.PEtest_1
E 1013113398 Itest_1
L 1013113411 PL.PEtest_2
E 1013113424 PL.PEtest_2
E 1013113439 I.PLtest_2
L 1013113455 I.PEtest_2
E 1013113468 PE.PLtest_1
E 1013113481 PE.Itest_1
E 1013113494 Itest_2
L 1013113506 PL.Itest_2
E 1013113525 farewell
CueI=Hexagonal Aircells CuePE=Sodium Seam Glue CuePL=Lateral Valves OutE=High OutL=Low
