exp_inits=eh booth=A subj=1013176629 age=19 sex=F hand=R permute_sec=09
08-Feb-2002 08:57:24
1013176644 training_phase_instructions
exp_inits=eh booth=A subj=1013176629 age=19 sex=F hand=R permute_sec=09
08-Feb-2002 08:58:23
1013176703 training_phase_instructions
1013176917 I.PE_1
1013176942 PE.I_1
1013176955 A.B
1013176979 I.PE_2
1013176997 I.PL_1
1013177013 PE.I_2
1013177023 C.D
1013177041 PE.I_3
1013177054 PL.I_1
1013177067 PE.I_4
1013177078 PL.I_2
1013177093 I.PL_2
1013177105 B.A
1013177120 PL.I_3
1013177132 I.PE_4
1013177146 I.PL_3
1013177160 D.C
1013177174 PL.I_4
1013177190 I.PL_4
1013177261 I.PL_4
1013177282 PL.I_3
1013177296 D.C
1013177347 I.PL_4
1013177362 I.PE_1
1013177381 I.PL_3
1013177409 PL.I_3
1013177423 B.A
1013177435 I.PL_2
1013177451 PL.I_2
1013177466 PE.I_4
1013177476 PL.I_1
1013177488 PE.I_3
1013177502 I.PE_3
1013177514 C.D
1013177524 PE.I_2
1013177534 I.PL_1
1013177543 I.PE_2
1013177555 A.B
1013177564 PE.I_1
1013177580 I.PE_1
1013177590 I.PL_4
1013177669 I.PE_1
1013177679 PE.I_1
1013177690 A.B
1013177699 I.PE_2
1013177709 I.PL_1
1013177722 PE.I_2
1013177732 C.D
1013177745 I.PE_3
1013177758 PE.I_3
1013177770 PL.I_1
1013177782 PE.I_4
1013177795 PL.I_2
1013177808 I.PL_2
1013177821 B.A
1013177833 PL.I_3
1013177847 I.PE_4
1013177858 I.PL_3
1013177870 D.C
1013177881 PL.I_4
1013177890 I.PL_4
1013178124 PE.I_3
