exp_inits=eh booth=C subj=1013176753 age=25 sex=M hand=R permute_sec=13
08-Feb-2002 08:59:39
1013176779 training_phase_instructions
1013176894 B.A
1013176961 I.PE_1
1013177006 PE.I_1
1013177029 A.B
1013177052 I.PE_2
1013177087 I.PL_1
1013177105 PE.I_2
1013177124 C.D
1013177150 I.PE_3
1013177168 PE.I_3
1013177181 PL.I_1
1013177217 PE.I_4
1013177229 PL.I_2
1013177243 I.PL_2
1013177256 PL.I_3
1013177270 I.PE_4
1013177286 I.PL_3
1013177303 D.C
1013177317 PL.I_4
1013177327 I.PL_4
1013177344 I.PE_1
1013177365 PE.I_1
1013177381 A.B
1013177396 I.PE_2
1013177407 I.PL_1
1013177425 PE.I_2
1013177440 C.D
1013177459 I.PE_3
1013177473 PE.I_3
1013177489 PL.I_1
1013177504 PE.I_4
1013177527 PL.I_2
1013177547 I.PL_2
1013177567 B.A
1013177577 test_phase_instructions
(test_instruction_resp) 1013177638 I.PEtest_1
E 1013177660 PL.Itest_1
L 1013177711 Itest_1
E 1013177730 PE.PLtest_1
E 1013177746 I.PLtest_1
L 1013177762 Itest_3
E 1013177780 PL.PEtest_2
L 1013177798 PE.Itest_1
E 1013177814 PE.PLtest_2
L 1013177835 PE.Itest_2
L 1013177849 I.PLtest_2
E 1013177860 Itest_2
L 1013177896 Itest_4
L 1013177910 PL.PEtest_1
E 1013177924 I.PEtest_2
E 1013177942 PL.Itest_2
L 1013177963 farewell
CueI=Lateral Valves CuePE=Sodium Seam Glue CuePL=Hexagonal Aircells OutE=High OutL=Low
