exp_inits=ek booth=E subj=1013196118 age=22 sex=M hand=R permute_sec=58
08-Feb-2002 14:22:23
1013196143 training_phase_instructions
1013196243 I.PE_1
1013196283 PE.I_1
1013196305 A.B
1013196331 I.PE_2
1013196356 I.PL_1
1013196385 PE.I_2
1013196403 C.D
1013196429 I.PE_3
1013196454 PE.I_3
1013196473 PL.I_1
1013196501 PL.I_3
1013196533 B.A
1013196561 I.PL_2
1013196588 PL.I_2
1013196610 PE.I_4
1013196630 I.PE_4
1013196645 I.PL_3
1013196675 D.C
1013196690 PL.I_4
1013196709 I.PL_4
1013196788 I.PL_4
1013196908 I.PL_2
1013196929 B.A
1013196948 I.PL_4
1013196969 D.C
1013197058 PL.I_4
1013197076 I.PE_1
1013197088 PE.I_1
1013197098 I.PL_1
1013197111 C.D
1013197127 PE.I_2
1013197145 PL.I_1
1013197158 PL.I_2
1013197169 PE.I_4
1013197178 PL.I_3
1013197195 B.A
1013197205 I.PL_2
1013197216 PL.I_2
1013197225 PE.I_4
1013197236 PL.I_1
1013197245 PE.I_3
1013197257 I.PE_3
1013197266 C.D
1013197276 PE.I_2
1013197287 I.PL_1
1013197295 I.PE_2
1013197304 PL.I_4
1013197314 D.C
1013197323 I.PL_3
1013197333 I.PE_4
1013197343 I.PL_4
1013197373 D.C
1013197381 PL.I_4
1013197390 I.PL_3
1013197400 I.PE_4
1013197416 I.PE_1
1013197425 PE.I_1
1013197433 A.B
