exp_inits=sf booth=A subj=1013439654 age=19 sex=M hand=L permute_sec=54
11-Feb-2002 10:01:39
1013439699 training_phase_instructions
1013439814 I.PE_1
1013439849 PE.I_1
1013439877 A.B
1013439913 I.PE_2
1013439938 I.PL_1
1013439975 PE.I_2
1013439998 C.D
1013440023 I.PE_3
1013440041 PE.I_3
1013440064 PL.I_1
1013440096 PE.I_4
1013440116 PL.I_2
1013440152 I.PL_2
1013440176 B.A
1013440203 PL.I_3
1013440226 I.PE_4
1013440255 I.PL_3
1013440297 D.C
1013440314 PL.I_4
1013440335 I.PL_4
1013440385 I.PE_1
1013440412 I.PE_1
1013440480 I.PE_1
1013440490 I.PL_4
1013440511 PL.I_4
1013440526 D.C
1013440564 I.PE_4
1013440583 PL.I_3
1013440601 B.A
1013440623 I.PL_2
1013440648 PL.I_2
1013440667 PE.I_4
1013440680 PL.I_1
1013440701 PE.I_3
1013440728 I.PE_3
1013440746 C.D
1013440759 PE.I_2
1013440777 I.PL_1
1013440792 I.PE_2
1013440802 A.B
1013440824 PE.I_1
1013440848 I.PE_1
1013440866 PE.I_3
1013440878 I.PL_3
1013440890 test_phase_instructions
(test_instruction_resp) 1013440946 I.PEtest_1
E 1013440962 PL.Itest_1
L 1013440989 Itest_1
E 1013441006 PE.PLtest_1
E 1013441021 PE.Itest_1
E 1013441045 PL.PEtest_2
E 1013441068 Itest_3
E 1013441088 I.PLtest_1
L 1013441103 PE.PLtest_2
E 1013441118 PE.Itest_2
E 1013441134 I.PLtest_2
L 1013441155 Itest_2
E 1013441174 Itest_4
E 1013441190 PL.PEtest_1
E 1013441203 I.PEtest_2
E 1013441215 PL.Itest_2
L 1013441230 farewell
CueI=Lateral Valves CuePE=Hexagonal Aircells CuePL=Sodium Seam Glue OutE=Low OutL=High
