exp_inits=ek booth=A subj=1013094489 age=20 sex=M hand=R permute_sec=09
07-Feb-2002 10:10:11
1013094611 training_phase_instructions
1013094725 I.PE_1
1013094772 PE.I_1
1013094803 A.B
1013094836 I.PE_2
1013094871 I.PL_1
1013094902 PE.I_2
1013094928 C.D
1013094958 I.PE_3
1013094985 PE.I_3
1013095015 PL.I_1
1013095042 PE.I_4
1013095056 PL.I_2
1013095070 I.PL_2
1013095090 B.A
1013095110 PL.I_3
1013095134 I.PE_4
1013095146 I.PL_3
1013095162 D.C
1013095182 PL.I_4
1013095204 I.PL_4
1013095286 I.PE_4
1013095381 PE.I_1
1013095482 I.PL_1
1013095500 PL.I_1
1013095510 PL.I_3
1013095520 I.PL_4
