exp_inits=sf booth=C subj=1013097458 age=20 sex=F hand=R permute_sec=38
07-Feb-2002 10:58:08
1013097488 training_phase_instructions
1013097589 I.PE_1
1013097620 PE.I_1
1013097653 A.B
1013097663 A.B
1013097705 I.PE_2
1013097728 I.PL_1
1013097755 PE.I_2
1013097780 C.D
1013097816 I.PE_3
1013097842 PE.I_3
1013097867 PL.I_1
1013097902 PE.I_4
1013097961 PL.I_2
1013098004 I.PL_2
1013098055 B.A
1013098090 PL.I_3
1013098112 I.PE_4
1013098136 I.PL_3
1013098156 D.C
1013098179 PL.I_4
1013098207 I.PL_4
1013098353 PL.I_4
1013098365 D.C
1013098376 I.PL_3
1013098395 I.PE_4
1013098406 PL.I_3
1013098414 B.A
1013098425 I.PL_2
1013098436 PL.I_2
1013098445 PE.I_4
1013098481 PL.I_1
1013098492 PE.I_3
1013098504 I.PE_3
1013098514 C.D
1013098546 PE.I_2
1013098591 PL.I_4
1013098611 I.PE_1
1013098622 PE.I_1
