subj=985814283 permute_sec=03 age=24 sex=M hand=R
28-Mar-2001 16:19:16
985814356 training_phase_instructions
985814407 I.PL_2
985814463 PE.I_3
985814491 B.A
985814515 I.PE_3
985814533 PL.I_2
985814556 D.C
985814578 I.PL_2
985814590 I.PL_3
985814605 I.PE_4
985814621 I.PL_4
985814636 D.C
985814649 PL.I_1
985814673 PE.I_2
985814698 PE.I_4
985814714 PL.I_3
985814733 I.PL_4
985814744 C.D
985814765 PE.I_2
985814802 C.D
985814815 I.PE_3
985814827 PE.I_3
985814848 I.PE_2
985814859 A.B
985814878 PE.I_1
985814894 I.PE_1
985814910 I.PL_1
985814923 PL.I_4
985814934 test_phase_instructions
(test_instruction_resp) 985814983 I.PEtest_1
E 985815006 PL.Itest_1
L 985815021 Itest_1
L 985815062 PE.PLtest_1
L 985815087 I.PLtest_1
L 985815109 Itest_3
E 985815124 PL.PEtest_2
E 985815177 PE.Itest_1
E 985815199 PE.Itest_1
E 985815220 PE.PLtest_2
L 985815242 PE.Itest_2
E 985815266 I.PLtest_2
L 985815284 Itest_2
L 985815297 Itest_4
E 985815312 PL.PEtest_1
E 985815332 I.PEtest_2
E 985815346 PL.Itest_2
L 985815360 farewell
