subj=986762568 permute_sec=48 age=1 sex=M hand=R
08-Apr-2001 15:44:10
986762650 training_phase_instructions
986763573 I.PE_1
986763623 PE.I_1
986763633 A.B
986763645 I.PE_2
986763662 I.PL_1
986763670 PE.I_2
986763679 C.D
986763688 I.PE_3
986763697 PE.I_3
986763706 PL.I_1
986763717 PE.I_4
986763726 PL.I_2
986763734 I.PL_2
986763743 B.A
986763751 PL.I_3
986763759 I.PE_4
986763767 I.PL_3
986763776 D.C
986763785 PL.I_4
986763793 I.PL_4
986763804 test_phase_instructions
(test_instruction_resp) 986764106 Itest_3
